class_id,cid,module,group_id,prof_id,total_students
1,472,B198c6,1,1,2
2,340,B120,1,17,13
3,343,B199,1,17,1
4,344,B120,1,17,3
5,403,B120,1,17,7
6,478,B198c5,1,1,4
7,513,B205,2,2,6
8,513,B206,1,3,6
9,520,B205,2,2,15
10,520,B206,1,3,15
11,527,B141,1,4,6
12,527,B143,1,5,6
13,537,B205,2,2,3
14,537,B206,1,3,3
15,549,B205,2,2,6
16,549,B206,1,3,6
17,667,B141,1,4,13
18,667,B143,1,5,13
19,670,B113,6,9,15
20,670,B124,6,10,15
21,691,B205,1,2,28
22,706,B205,1,2,15
23,707,B205,2,2,5
24,707,B206,1,3,5
25,719,B205,2,2,12
26,719,B206,1,3,12
27,669,B100,1,13,10
28,808,B201,1,8,38
29,808,B113,7,14,38
30,827,B201,4,8,18
31,827,B113,6,9,18
32,827,B124,6,10,18
33,858,B201,4,8,9
34,858,B113,7,14,9
35,872,B113,5,9,39
36,872,B124,5,10,39
37,669,B101,1,15,10
38,669,B103,1,12,10
39,887,B201,3,8,18
40,887,B113,8,16,18
41,889,B201,3,8,24
42,889,B113,8,16,24
43,910,B201,2,8,17
44,910,B113,9,6,17
45,925,B201,2,8,24
46,925,B113,9,6,24
47,934,B113,6,9,16
48,934,B115,4,7,16
49,942,B201,1,8,8
50,942,B113,5,9,8
51,934,B124,6,10,16
52,942,B124,5,10,8
53,668,B100,2,11,6
54,668,B101,2,3,6
55,668,B103,2,12,6
56,671,B100,3,5,22
57,671,B101,3,17,22
58,671,B103,3,17,22
