pid,day,start_time,end_time
1,Monday,09:00,13:00
1,Tuesday,10:00,14:00
1,Wednesday,08:00,12:00
2,Monday,10:00,15:00
2,Thursday,09:00,13:00
3,Tuesday,09:00,12:00
3,Wednesday,10:00,13:00
3,Friday,08:00,11:00
4,Monday,11:00,16:00
4,Wednesday,12:00,16:00
4,Friday,10:00,15:00
5,Tuesday,08:00,12:00
5,Thursday,09:00,13:00
6,Monday,09:00,14:00
6,Tuesday,10:00,15:00
6,Friday,09:00,13:00
7,Wednesday,10:00,15:00
7,Thursday,11:00,16:00
8,Monday,09:00,12:00
8,Friday,10:00,13:00
9,Tuesday,11:00,16:00
9,Thursday,12:00,16:00
9,Friday,10:00,14:00
10,Monday,08:00,11:00
10,Wednesday,09:00,12:00
